index,path,label,geometry
946,spring_images/6/4_18_146.tiff,0,POINT (107.7031607389956 12.54452382780936)
948,spring_images/6/4_19_140.tiff,0,POINT (107.6685926255165 12.54050245008152)
949,spring_images/6/4_19_141.tiff,0,POINT (107.6710406559887 12.53832383636581)
950,spring_images/6/4_19_142.tiff,0,POINT (107.6800473546167 12.53593318562696)
951,spring_images/6/4_19_143.tiff,0,POINT (107.6823350200941 12.53666107918796)
952,spring_images/6/4_19_144.tiff,0,POINT (107.6885590240074 12.53625333895952)
953,spring_images/6/4_20_140.tiff,0,POINT (107.6693313897028 12.53507912748405)
954,spring_images/6/4_20_141.tiff,0,POINT (107.6749806596309 12.53360162611825)
955,spring_images/6/4_20_142.tiff,0,POINT (107.6812803171792 12.53458138329939)
956,spring_images/6/4_20_143.tiff,0,POINT (107.6850957843021 12.53257865455049)
957,spring_images/6/4_20_144.tiff,0,POINT (107.6883675097554 12.53375122082787)
959,spring_images/6/4_21_143.tiff,0,POINT (107.6852693138104 12.52774540939651)
965,spring_images/6/4_22_142.tiff,0,POINT (107.6811372119267 12.51845815120169)
966,spring_images/6/4_22_143.tiff,0,POINT (107.6822394361185 12.52174575112245)
967,spring_images/6/4_22_144.tiff,0,POINT (107.6920208301135 12.51867369943351)
968,spring_images/6/4_22_145.tiff,0,POINT (107.6959056596728 12.51821121972407)
974,spring_images/6/4_23_142.tiff,0,POINT (107.6800249926959 12.51472329156248)
975,spring_images/6/4_23_144.tiff,0,POINT (107.6934082692418 12.51525134958366)
976,spring_images/6/4_23_145.tiff,0,POINT (107.6944565565832 12.51762541209212)
765,spring_images/2/1_9_44.tiff,0,POINT (108.0212760498328 12.59437437881098)
769,spring_images/18/1_27_37.tiff,0,POINT (107.9820590682295 12.49112925552927)
770,spring_images/18/1_28_37.tiff,0,POINT (107.9819329345291 12.48529557188518)
771,spring_images/18/1_28_38.tiff,0,POINT (107.9881765526995 12.4854532390107)
772,spring_images/18/1_29_38.tiff,0,POINT (107.9835096057842 12.47490530831369)
773,spring_images/18/1_30_39.tiff,0,POINT (107.9895324899789 12.46979689344698)
774,spring_images/18/1_31_38.tiff,0,POINT (107.9872620833715 12.46282012314291)
775,spring_images/18/1_32_38.tiff,0,POINT (107.9872620833715 12.46282012314291)
778,spring_images/18/1_34_21.tiff,0,POINT (107.8880822169093 12.44825236601521)
779,spring_images/18/1_34_22.tiff,0,POINT (107.8941048018694 12.44874595526507)
780,spring_images/18/1_34_23.tiff,0,POINT (107.9000822738334 12.44771101006376)
781,spring_images/18/1_34_24.tiff,0,POINT (107.9016532675749 12.44761547666056)
782,spring_images/18/1_35_21.tiff,0,POINT (107.8869517383048 12.4464412119129)
783,spring_images/18/1_35_22.tiff,0,POINT (107.8937770692223 12.44528419625194)
784,spring_images/18/1_35_23.tiff,0,POINT (107.8953042768207 12.44637884983026)
934,spring_images/15/2_149_28.tiff,0,POINT (107.9268556630846 12.68610178379997)
940,spring_images/2/2_165_44.tiff,0,POINT (108.0212760498328 12.59437437881098)
1010,spring_images/2/4_44_153.tiff,0,POINT (107.7416534542163 12.39426556726085)
821,spring_images/6/2_52_73.tiff,0,POINT (108.2030707844725 13.24564604411154)
822,spring_images/6/2_53_71.tiff,0,POINT (108.1899902596578 13.23802061285502)
823,spring_images/6/2_53_72.tiff,0,POINT (108.1968395137174 13.23676006289413)
824,spring_images/6/2_53_73.tiff,0,POINT (108.2008166286256 13.23739033787458)
825,spring_images/2/2_54_46.tiff,0,POINT (108.0437600501629 13.23468093185177)
827,spring_images/6/2_54_73.tiff,0,POINT (108.2032320178703 13.23115340792568)
828,spring_images/6/2_54_74.tiff,0,POINT (108.204771803582 13.23204696232834)
831,spring_images/6/2_55_73.tiff,0,POINT (108.2041893975874 13.22685118282183)
832,spring_images/6/2_55_74.tiff,0,POINT (108.2064871089085 13.22645028006528)
833,spring_images/6/2_55_75.tiff,0,POINT (108.2104043875845 13.22692099175953)
836,spring_images/15/2_66_77.tiff,0,POINT (108.2234857907217 13.16530934267014)
837,spring_images/6/2_67_72.tiff,0,POINT (108.1936524146663 13.15544714139539)
838,spring_images/6/2_67_73.tiff,0,POINT (108.1979389616496 13.15656649241267)
839,spring_images/2/2_68_73.tiff,0,POINT (108.1986559097027 13.15401375779256)
841,spring_images/2/2_69_71.tiff,0,POINT (108.1903984754182 13.14857786019309)
842,spring_images/2/2_69_73.tiff,0,POINT (108.1982547391809 13.14808337041608)
843,spring_images/2/2_69_77.tiff,0,POINT (108.2250600770846 13.14701289021503)
844,spring_images/2/2_76_78.tiff,0,POINT (108.2281456350696 13.10820627504848)
867,spring_images/2/2_88_76.tiff,0,POINT (108.2194695463308 13.03367445813423)
868,spring_images/2/2_88_77.tiff,0,POINT (108.2200305038643 13.03347494231048)
870,spring_images/15/2_89_77.tiff,0,POINT (108.2198786634243 13.03212515483354)
874,spring_images/15/2_94_78.tiff,0,POINT (108.2295901552071 13.00009123299988)
875,spring_images/15/2_95_78.tiff,0,POINT (108.2306748419532 12.99340707373563)
876,spring_images/15/2_95_79.tiff,0,POINT (108.2311577280773 12.99455573548903)
878,spring_images/2/2_98_82.tiff,0,POINT (108.2530147651782 12.97538803760747)
879,spring_images/2/2_98_83.tiff,0,POINT (108.2566911555708 12.97902552512748)
880,spring_images/2/2_98_84.tiff,0,POINT (108.2637270429051 12.97601033334974)
881,spring_images/2/2_98_85.tiff,0,POINT (108.2684734957823 12.97917991350297)
883,spring_images/2/2_99_82.tiff,0,POINT (108.2527451672533 12.97478493706439)
884,spring_images/2/2_99_84.tiff,0,POINT (108.2649449956451 12.97485967810677)
892,spring_images/2/2_103_85.tiff,0,POINT (108.2697895555961 12.95016791735196)
893,spring_images/15/2_105_79.tiff,0,POINT (108.2321148787135 12.93610876920267)
894,spring_images/2/2_110_80.tiff,0,POINT (108.2396886513249 12.90984871417855)
895,spring_images/2/2_111_80.tiff,0,POINT (108.2383792918714 12.90484927555345)
896,spring_images/15/2_117_78.tiff,0,POINT (108.2260388208548 12.86957047089592)
801,spring_images/2/1_67_44.tiff,0,POINT (108.0165307970321 12.25739836400204)
808,spring_images/2/1_99_29.tiff,0,POINT (107.9267073637438 12.07345628161395)
811,spring_images/2/1_121_30.tiff,0,POINT (107.9354076287973 11.94602608472949)
1214,spring_images/2/1_75_70.tiff,0,POINT (108.1728754169844 12.20850639736924)
1215,spring_images/2/1_75_71.tiff,0,POINT (108.1787647903165 12.20950203074416)
1222,spring_images/18/1_78_72.tiff,0,POINT (108.1797968727534 12.19398408162084)
1223,spring_images/2/1_79_71.tiff,0,POINT (108.1785941306839 12.1835203588104)
1224,spring_images/2/1_79_72.tiff,0,POINT (108.1811661073574 12.18526919639315)
1225,spring_images/2/1_80_72.tiff,0,POINT (108.185237848782 12.18271986270436)
1226,spring_images/2/1_80_73.tiff,0,POINT (108.1877579650911 12.17872110324443)
1227,spring_images/2/1_80_74.tiff,0,POINT (108.1943358563155 12.18077627172561)
1228,spring_images/2/1_80_75.tiff,0,POINT (108.2010176375989 12.17715910638462)
1229,spring_images/2/1_80_76.tiff,0,POINT (108.2057270183023 12.17713980564404)
1230,spring_images/6/1_80_81.tiff,0,POINT (108.2377788080457 12.17884841220654)
1231,spring_images/6/1_80_82.tiff,0,POINT (108.2431074125909 12.17792148125491)
1232,spring_images/6/1_80_83.tiff,0,POINT (108.2456434266374 12.17925766069878)
1233,spring_images/18/1_80_84.tiff,0,POINT (108.2545497387691 12.18157876923981)
1234,spring_images/18/1_80_85.tiff,0,POINT (108.2563935761614 12.18114350270785)
1236,spring_images/2/1_81_73.tiff,0,POINT (108.1855598782279 12.17512550984289)
1237,spring_images/2/1_81_75.tiff,0,POINT (108.2010176375989 12.17715910638462)
1238,spring_images/2/1_81_76.tiff,0,POINT (108.2057270183023 12.17713980564404)
1245,spring_images/18/1_85_84.tiff,0,POINT (108.2514614354545 12.150559802763)
