path,label,geometry
spring_images_32/2/0_49_22.tiff,0,POINT (107.8176428377111 11.60438864139611)
spring_images_32/4/4_293_308.tiff,1,POINT (107.7398355547892 11.8024379750949)
spring_images_32/4/4_170_167.tiff,1,POINT (107.3291098706194 12.16164961659685)
spring_images_32/2/0_45_77.tiff,0,POINT (107.9769986506346 11.61416270394449)
spring_images_32/2/0_36_156.tiff,0,POINT (108.2102814713283 11.63710910899224)
spring_images_32/6/4_46_285.tiff,1,POINT (107.6792972443103 12.51683788121115)
spring_images_32/27/1_219_212.tiff,1,POINT (108.3774981856846 12.0100261581008)
spring_images_32/2/0_103_38.tiff,0,POINT (107.8628747025904 11.44545563798714)
spring_images_32/27/1_231_210.tiff,1,POINT (108.3715814746003 11.97450491180714)
spring_images_32/4/4_334_210.tiff,1,POINT (107.4507659312501 11.68513571527452)
spring_images_32/4/0_119_71.tiff,1,POINT (107.9573984217468 11.39913304605492)
spring_images_32/2/3_161_113.tiff,0,POINT (108.1136816077037 13.98507538013945)
spring_images_32/2/3_176_36.tiff,0,POINT (107.8855789271828 13.94562494664405)
spring_images_32/4/0_106_99.tiff,1,POINT (108.0394745280324 11.43735750783687)
spring_images_32/2/0_38_143.tiff,0,POINT (108.1728407734814 11.63254785255758)
spring_images_32/2/0_35_60.tiff,0,POINT (107.927378846821 11.64371690352377)
spring_images_32/4/1_239_214.tiff,1,POINT (108.383981213875 11.95020126925162)
spring_images_32/27/1_223_209.tiff,1,POINT (108.3693189486347 11.99787886187499)
spring_images_32/2/0_33_140.tiff,0,POINT (108.1625703479833 11.64450486643747)
spring_images_32/8/3_111_94.tiff,1,POINT (108.0577357266436 14.12944063434458)
spring_images_32/6/2_309_246.tiff,1,POINT (108.487524886517 12.65146282262719)
spring_images_32/4/0_100_109.tiff,1,POINT (108.0688512104239 11.45364567273146)
spring_images_32/4/0_116_58.tiff,1,POINT (107.9190349375543 11.40819695909442)
spring_images_32/2/0_38_75.tiff,0,POINT (107.9719763087395 11.63264123198746)
spring_images_32/8/1_291_273.tiff,1,POINT (108.5538218751919 11.79886742914759)
spring_images_32/6/3_4_54.tiff,1,POINT (107.9427247950781 14.44150272003629)
spring_images_32/18/1_176_164.tiff,1,POINT (108.239866106689 12.13590439884717)
spring_images_32/2/0_65_12.tiff,0,POINT (107.7867816809475 11.55785245560464)
spring_images_32/18/2_336_227.tiff,1,POINT (108.4289491156535 12.57399512322009)
spring_images_32/4/0_118_60.tiff,1,POINT (107.9251703533791 11.40369765415621)
spring_images_32/6/1_342_8.tiff,1,POINT (107.7766849239557 11.65965868477393)
spring_images_32/4/1_256_220.tiff,1,POINT (108.4012361967494 11.90147770401813)
spring_images_32/2/3_235_76.tiff,0,POINT (107.9989234542837 13.77229376404419)
spring_images_32/17/3_211_51.tiff,1,POINT (107.9285220349103 13.84205169545536)
spring_images_32/2/0_39_5.tiff,0,POINT (107.766009843092 11.63335539499212)
spring_images_32/18/0_78_75.tiff,1,POINT (107.9705287243399 11.51803229080216)
spring_images_32/4/0_112_72.tiff,1,POINT (107.9608648392223 11.41842265213582)
spring_images_32/4/1_87_64.tiff,1,POINT (107.9488982735833 12.39470268704425)
spring_images_32/4/0_87_18.tiff,1,POINT (107.8031809880241 11.49387543070669)
spring_images_32/18/3_223_87.tiff,1,POINT (108.0334777178043 13.80717461810068)
spring_images_32/2/0_57_80.tiff,0,POINT (107.9864594506169 11.57777109356132)
spring_images_32/4/1_250_217.tiff,1,POINT (108.3921145147923 11.91930147220785)
spring_images_32/18/1_177_164.tiff,1,POINT (108.2399594728943 12.13155215248161)
spring_images_32/4/0_111_7.tiff,1,POINT (107.7702974703675 11.42530645471923)
spring_images_32/4/0_114_147.tiff,1,POINT (108.1811172777237 11.411019366077)
spring_images_32/18/2_291_246.tiff,1,POINT (108.4872773687357 12.7010582823975)
spring_images_32/6/0_30_8.tiff,1,POINT (107.7748376834024 11.65780288085387)
spring_images_32/27/1_225_239.tiff,1,POINT (108.4576051800283 11.98979849035331)
spring_images_32/13/0_116_133.tiff,1,POINT (108.1412472306616 11.40739957501894)
spring_images_32/6/3_188_120.tiff,1,POINT (108.1332878887086 13.90786858426392)
spring_images_32/2/3_237_75.tiff,0,POINT (107.9962590521293 13.76780012132431)
spring_images_32/4/0_95_147.tiff,1,POINT (108.1812210577672 11.46549622365295)
spring_images_32/4/1_242_217.tiff,1,POINT (108.3922749484516 11.94176382999566)
spring_images_32/2/0_35_61.tiff,0,POINT (107.9313990018133 11.64326729740469)
spring_images_32/17/3_211_53.tiff,1,POINT (107.9323714810775 13.84211026591287)
spring_images_32/8/3_131_278.tiff,1,POINT (108.6028481293779 14.06616425464656)
spring_images_32/2/3_120_126.tiff,0,POINT (108.1536547011418 14.10290692826807)
spring_images_32/24/3_248_140.tiff,1,POINT (108.1882063799927 13.73390708946386)
spring_images_32/6/1_342_6.tiff,1,POINT (107.7692066254826 11.66043371091694)
spring_images_32/17/3_212_51.tiff,1,POINT (107.92854383049 13.84145932273428)
spring_images_32/6/2_111_148.tiff,1,POINT (108.2064871089085 13.22645028006528)
spring_images_32/2/0_82_36.tiff,0,POINT (107.8556213954629 11.50826145112186)
spring_images_32/2/0_52_56.tiff,0,POINT (107.917279949051 11.5921570002353)
spring_images_32/17/0_64_109.tiff,1,POINT (108.0726988716625 11.5562449893857)
spring_images_32/27/1_227_209.tiff,1,POINT (108.3697447148844 11.9845089788909)
spring_images_32/18/3_155_48.tiff,1,POINT (107.9209591265933 14.00507315303309)
spring_images_32/27/1_218_240.tiff,1,POINT (108.4601722728417 12.00935890148508)
spring_images_32/6/4_52_205.tiff,1,POINT (107.4441703435567 12.50276927926703)
spring_images_32/2/0_45_84.tiff,0,POINT (107.9980564889147 11.61359732345263)
spring_images_32/2/0_94_53.tiff,0,POINT (107.9052549039307 11.47267377574605)
spring_images_32/4/0_117_73.tiff,1,POINT (107.9647180096329 11.40387913926023)
spring_images_32/27/0_64_179.tiff,1,POINT (108.2761924281116 11.55472476171299)
spring_images_32/2/0_95_8.tiff,0,POINT (107.7738636158092 11.47037994219661)
spring_images_32/27/0_58_257.tiff,1,POINT (108.5056504867571 11.5701945478952)
spring_images_32/2/0_70_13.tiff,0,POINT (107.7884760927165 11.54399322145693)
spring_images_32/27/1_236_211.tiff,1,POINT (108.373700844378 11.96038071637844)
spring_images_32/4/4_116_203.tiff,1,POINT (107.4370168535413 12.31759647359537)
spring_images_32/24/3_243_140.tiff,1,POINT (108.1889662931108 13.74892851719522)
spring_images_32/4/4_330_226.tiff,1,POINT (107.4984617624844 11.69737482305279)
spring_images_32/4/3_21_193.tiff,1,POINT (108.355011111852 14.3860342893351)
spring_images_32/4/2_183_236.tiff,1,POINT (108.4614124233952 13.01565058511713)
spring_images_32/27/1_227_208.tiff,1,POINT (108.3653216823056 11.98670074949916)
spring_images_32/27/0_63_184.tiff,1,POINT (108.29012137749 11.55630025440351)
